amfi_code,return_3yr_pct,sharpe_ratio,score
119598,23.39,0.94,19.0
119599,23.14,0.93,21.5
120842,18.23,0.96,22.0
120843,15.65,0.98,23.0
100016,14.84,1.06,23.5
148567,14.81,1.06,24.5
120505,18.08,0.95,25.0
101207,22.38,0.9,27.5
102887,15.34,0.96,28.0
120504,14.41,1.03,29.0
120506,14.76,0.98,30.0
118632,14.0,1.0,31.0
149323,17.16,0.9,33.5
101206,13.78,0.98,34.0
119095,20.98,0.84,36.0
120507,7.68,7.68,36.0
120844,6.18,6.18,39.0
100033,16.58,0.87,39.0
125497,13.38,0.96,39.0
100025,7.37,1.84,40.0
118634,20.15,0.81,40.5
148568,14.56,0.91,41.5
101208,5.14,5.14,43.0
119120,6.07,1.52,43.0
149324,20.08,0.8,44.5
118636,5.31,1.33,45.0
102886,15.61,0.82,45.5
149322,12.82,0.92,46.0
102885,12.1,0.93,49.5
125498,15.29,0.8,52.5
119551,12.36,0.88,52.5
119094,15.18,0.8,53.5
118633,12.33,0.88,53.5
118635,11.77,0.91,54.5
120841,12.25,0.87,57.0
119093,12.14,0.87,58.0
148569,13.58,0.8,61.5
119092,11.84,0.85,62.0
120503,11.54,0.82,66.5
119552,11.3,0.81,69.5
