amfi_code,sortino_ratio
119551,1.29
119552,1.29
119598,1.35
119599,1.67
119120,2.11
100016,1.7
125497,1.45
100033,1.44
125498,1.38
100025,2.79
120503,1.12
120504,1.27
120505,1.45
120506,1.5
120507,10.37
118632,1.68
118633,1.48
118634,1.14
118635,1.24
118636,2.38
120841,1.34
120842,1.27
120843,1.57
120844,9.7
119092,1.25
119093,1.54
119094,1.18
119095,1.4
101206,1.25
101207,1.47
101208,8.76
102885,1.29
102886,1.21
102887,1.37
148567,1.66
148568,1.55
148569,1.03
149322,1.63
149323,1.5
149324,1.23
